,Ticker,Implosion_Date
1014,SVFD,2014-12-21
1015,SVVC,2022-09-18
1016,SWIM,2022-06-19
1017,SWVL,2022-07-17
1018,SXTC,2020-01-12
1019,SY,2021-12-19
1020,SYBX,2019-08-25
1021,SYRS,2022-01-23
1022,SYTA,2022-01-09
1023,TAL,2021-06-20
1024,TALK,2021-11-21
1025,TALS,2022-08-28
1026,TANH,2016-05-01
1027,TAOP,2011-08-14
1028,TAOP,2022-01-09
1029,TARA,2016-12-18
1030,TBL,2017-09-10
1031,TBLT,2020-01-19
1032,TC,2019-12-15
1033,TCMD,2022-01-09
1035,TCON,2022-01-09
1034,TCON,2019-04-14
1036,TDOC,2022-05-01
1037,TDUP,2022-05-01
1038,TDW,2015-11-22
1039,TENX,2012-12-16
1040,TFFP,2022-11-06
1041,TGTX,2011-06-26
1042,TGTX,2022-01-23
1043,THMO,2015-12-20
1044,THTX,2012-06-24
1045,TIGR,2021-11-28
1046,TIL,2022-05-15
1047,TIRX,2022-01-30
1048,TISI,2021-09-26
1049,TK,2016-05-08
1050,TKNO,2022-07-31
1051,TLIS,2022-02-13
1052,TLRY,2019-08-25
1053,TLS,2022-01-30
1054,TNDM,2022-11-06
1055,TNDM,2016-11-27
1056,TNXP,2016-02-21
1057,TOI,2022-11-13
1058,TOMZ,2010-01-10
1059,TOPS,2011-07-17
1060,TPST,2015-11-08
1061,TREE,2022-06-19
1062,TRHC,2021-11-07
1063,TRIB,2022-01-30
1064,TRKA,2022-09-11
1065,TROO,2017-06-18
1066,TRVN,2021-12-05
1067,TRZ,2011-01-09
1068,TSAT,2022-07-03
1069,TSHA,2022-01-23
1070,TSP,2022-04-17
1071,TTNP,2018-10-21
1072,TTOO,2021-12-05
1073,TUP,2022-11-20
1074,TUSK,2019-06-09
1075,TUYA,2022-03-20
1076,TWLO,2022-05-01
1077,TXG,2022-04-24
1078,TXMD,2010-08-15
1079,TYG,2020-03-15
1080,U,2022-09-18
1081,UBX,2021-12-05
1082,UIS,2022-11-13
1083,UK,2021-01-31
1084,UNFI,2018-12-09
1085,UP,2022-06-12
1086,UPH,2021-10-03
1087,UPST,2022-05-29
1088,USEG,2014-12-07
1089,UTRS,2022-10-23
1090,UXIN,2022-04-10
1091,VACC,2022-09-18
1092,VANI,2022-10-16
1093,VAPO,2022-04-10
1094,VBIV,2012-04-22
1095,VBLT,2018-03-18
1096,VCEL,2013-05-05
1097,VCSA,2022-11-13
1098,VEON,2022-03-20
1099,VERB,2019-04-07
1101,VERI,2022-06-05
1100,VERI,2018-10-28
1102,VERO,2018-10-28
1103,VEV,2022-05-08
1104,VFF,2022-09-25
1105,VIAO,2022-05-15
1106,VIEW,2022-01-30
1107,VINC,2022-02-27
1108,VINO,2022-05-08
1109,VIOT,2021-12-19
1110,VIRX,2015-08-09
1111,VISL,2015-01-04
1112,VIVK,2010-09-12
1113,VJET,2014-12-14
1114,VKTX,2016-05-01
1115,VLCN,2022-10-16
1116,VMEO,2022-05-22
1185,VNCE,2015-07-19
1117,VNET,2021-12-05
1118,VOR,2022-02-06
1120,VQS,2022-03-06
1119,VQS,2012-12-23
1121,VRDN,2015-12-20
1122,VRM,2021-12-05
1123,VRME,2016-01-24
1124,VRPX,2022-04-24
1192,VS,2021-11-28
1125,VSTM,2015-10-04
1126,VTGN,2012-09-23
1127,VTLE,2018-12-23
1128,VVC,2010-02-14
1129,VVPR,2022-01-16
1130,VWE,2022-09-18
1131,VXRT,2011-07-24
1132,VYNE,2021-08-15
1133,W,2022-04-24
1134,WAVD,2022-07-03
1135,WGS,2021-12-26
1136,WINT,2010-06-20
1137,WISA,2019-07-28
1138,WISH,2021-12-19
1139,WIX,2022-02-20
1140,WKEY,2022-03-06
1141,WKHS,2021-10-10
1142,WKSP,2015-01-25
1143,WMC,2020-03-22
1144,WMPN,2021-03-28
1145,WNW,2021-12-19
1146,WORX,2018-02-11
1147,WPRT,2014-10-12
1148,WPRT,2022-01-23
1149,WRAP,2022-01-30
1150,WTER,2022-05-08
1151,WULF,2022-03-20
1152,WW,2022-03-06
1153,XBIO,2019-07-21
1154,XBIT,2017-07-23
1155,XCUR,2021-11-21
1156,XELA,2019-08-11
1157,XFOR,2018-12-02
1158,XGN,2022-10-02
1159,XIN,2021-11-21
1160,XOMA,2016-02-07
1161,XOS,2021-12-12
1162,XPLR,2012-08-19
1163,XWEL,2014-08-24
1164,XYF,2019-10-27
1165,YALA,2021-12-05
1166,YGMZ,2021-11-28
1167,YI,2021-12-05
1168,YNDX,2022-02-27
1169,YQ,2022-03-27
1170,YSG,2021-11-21
1171,YTEN,2012-01-15
1172,ZAIS,2016-04-24
1173,ZENV,2022-07-24
1174,ZEPP,2022-03-06
1175,ZEV,2022-09-18
1176,ZH,2022-03-27
1178,ZKIN,2021-12-05
1177,ZKIN,2018-10-28
1179,ZLAB,2022-01-16
1180,ZM,2022-03-06
1182,ZVRA,2016-05-15
1181,ZVRA,2019-05-05
1183,ZYME,2022-01-23
1184,ZYNE,2022-05-01
